Model,Encoded Chromosome
23,"[8, 2, 1, 0, 6, 6, 1, 0, 3, 0, 0, 0, 8, 1, 2, 0, 0, 5, 0, 0, 0, 13, 1, 0, 6, 11, 0, 0, 4, 29, 0, 0, 6, 15, 0, 0, 4, 24, 0, 0, 8, 2, 1, 0, 1, 0, 0, 0]"
24,"[4, 115, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 8, 3, 1, 0, 5, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 6, 12, 0, 0, 0, 13, 0, 0, 7, 0, 0, 0]"
25,"[3, 0, 0, 0, 4, 39, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 4, 57, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 8, 1, 2, 0, 6, 10, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0]"
26,"[2, 1, 0, 0, 6, 11, 0, 0, 7, 0, 0, 0, 6, 8, 1, 0, 7, 0, 0, 0, 4, 100, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 4, 3, 0, 0, 0, 7, 0, 0, 8, 1, 2, 0, 8, 1, 1, 0]"
27,"[6, 6, 1, 0, 3, 0, 0, 0, 8, 2, 1, 0, 0, 15, 1, 0, 7, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 8, 1, 2, 0, 1, 0, 0, 0, 7, 0, 0, 0, 4, 12, 0, 0, 7, 0, 0, 0]"
28,"[4, 66, 0, 0, 6, 4, 1, 0, 3, 0, 0, 0, 8, 2, 2, 0, 6, 11, 0, 0, 6, 6, 0, 0, 0, 9, 0, 0, 8, 1, 2, 0, 4, 52, 0, 0, 3, 0, 0, 0, 6, 10, 1, 0, 4, 49, 0, 0]"
29,"[0, 12, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 6, 13, 1, 0, 8, 2, 1, 0, 3, 0, 0, 0, 6, 11, 0, 0, 7, 0, 0, 0, 0, 14, 1, 0, 6, 4, 1, 0, 2, 1, 0, 0]"
30,"[8, 3, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0]"
31,"[1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 50, 0, 0, 6, 7, 0, 0, 3, 0, 0, 0, 6, 6, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 14, 0, 0]"
32,"[6, 14, 1, 0, 0, 9, 1, 0, 4, 57, 0, 0, 2, 1, 0, 0, 0, 4, 1, 0, 8, 1, 1, 0, 2, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 11, 0, 0, 2, 0, 0, 0]"
33,"[0, 11, 1, 0, 5, 0, 0, 0, 8, 2, 1, 0, 4, 72, 0, 0, 5, 0, 0, 0, 6, 11, 1, 0, 1, 0, 0, 0, 8, 1, 1, 0, 4, 117, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 0, 13, 0, 0]"
34,"[4, 103, 0, 0, 6, 12, 0, 0, 6, 9, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 8, 1, 2, 0, 6, 10, 0, 0, 8, 2, 1, 0, 5, 0, 0, 0, 0, 7, 1, 0]"
35,"[5, 0, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 3, 0, 0, 0, 4, 50, 0, 0, 0, 7, 0, 0, 0, 7, 1, 0, 8, 3, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0, 4, 107, 0, 0, 2, 1, 0, 0]"
36,"[8, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 0, 12, 0, 0]"
37,"[7, 0, 0, 0, 8, 2, 2, 0, 2, 1, 0, 0, 6, 5, 1, 0, 6, 15, 1, 0, 4, 89, 0, 0, 0, 12, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 8, 3, 1, 0]"
38,"[3, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 6, 8, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 8, 1, 2, 0, 7, 0, 0, 0, 0, 8, 0, 0, 5, 0, 0, 0, 0, 13, 1, 0, 4, 93, 0, 0]"
39,"[8, 2, 2, 0, 2, 0, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 6, 15, 1, 0, 2, 1, 0, 0, 5, 0, 0, 0, 0, 7, 0, 0, 8, 1, 2, 0, 8, 2, 2, 0, 8, 2, 2, 0, 1, 0, 0, 0]"
40,"[7, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 12, 1, 0, 8, 2, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 6, 7, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0]"
41,"[3, 0, 0, 0, 7, 0, 0, 0, 4, 117, 0, 0, 6, 8, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 2, 1, 0, 0, 6, 14, 1, 0, 8, 1, 2, 0, 4, 78, 0, 0, 0, 8, 0, 0]"
42,"[6, 4, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 6, 13, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 8, 2, 2, 0]"
43,"[5, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 10, 1, 0, 6, 10, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 6, 8, 0, 0, 2, 0, 0, 0, 4, 117, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0]"
44,"[0, 12, 0, 0, 0, 5, 0, 0, 4, 61, 0, 0, 6, 9, 1, 0, 4, 77, 0, 0, 4, 47, 0, 0, 6, 12, 1, 0, 6, 6, 0, 0, 4, 115, 0, 0, 4, 80, 0, 0, 6, 5, 0, 0, 7, 0, 0, 0]"
45,"[5, 0, 0, 0, 8, 1, 1, 0, 0, 14, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 8, 3, 1, 0, 4, 105, 0, 0, 3, 0, 0, 0, 6, 4, 0, 0, 1, 0, 0, 0]"
46,"[1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 6, 8, 1, 0, 4, 68, 0, 0, 0, 10, 0, 0, 6, 13, 0, 0, 6, 4, 0, 0, 7, 0, 0, 0]"
47,"[5, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 11, 0, 0, 2, 1, 0, 0, 4, 71, 0, 0, 7, 0, 0, 0, 4, 101, 0, 0, 2, 1, 0, 0]"
48,"[2, 1, 0, 0, 2, 0, 0, 0, 4, 92, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 9, 0, 0, 8, 2, 2, 0, 6, 14, 1, 0, 4, 101, 0, 0]"
49,"[6, 12, 0, 0, 6, 9, 1, 0, 8, 2, 2, 0, 1, 0, 0, 0, 7, 0, 0, 0, 8, 2, 1, 0, 5, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 6, 7, 0, 0]"
50,"[6, 14, 1, 0, 3, 0, 0, 0, 0, 15, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 4, 93, 0, 0, 4, 36, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0]"
51,"[4, 26, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 0, 8, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 4, 32, 0, 0, 4, 59, 0, 0]"
52,"[2, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 0, 8, 1, 0, 5, 0, 0, 0, 6, 10, 1, 0, 2, 0, 0, 0, 0, 15, 1, 0, 5, 0, 0, 0, 7, 0, 0, 0]"
53,"[8, 1, 2, 0, 1, 0, 0, 0, 7, 0, 0, 0, 4, 57, 0, 0, 3, 0, 0, 0, 6, 12, 0, 0, 8, 1, 2, 0, 7, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 4, 66, 0, 0, 4, 65, 0, 0]"
54,"[3, 0, 0, 0, 2, 1, 0, 0, 8, 1, 2, 0, 4, 94, 0, 0, 0, 4, 1, 0, 6, 7, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 6, 13, 0, 0, 8, 1, 2, 0, 2, 0, 0, 0]"
55,"[2, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 6, 4, 1, 0, 5, 0, 0, 0, 4, 62, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 8, 2, 2, 0, 5, 0, 0, 0, 1, 0, 0, 0, 6, 14, 0, 0]"
56,"[4, 48, 0, 0, 1, 0, 0, 0, 8, 3, 2, 0, 1, 0, 0, 0, 4, 109, 0, 0, 0, 15, 0, 0, 6, 5, 0, 0, 3, 0, 0, 0, 6, 13, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0]"
57,"[2, 0, 0, 0, 1, 0, 0, 0, 6, 10, 1, 0, 7, 0, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 0, 14, 0, 0, 0, 9, 0, 0, 4, 114, 0, 0, 7, 0, 0, 0, 4, 69, 0, 0]"
58,"[8, 3, 1, 0, 4, 101, 0, 0, 4, 58, 0, 0, 4, 33, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 11, 0, 0, 6, 9, 1, 0, 8, 3, 1, 0, 4, 100, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0]"
59,"[2, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 9, 1, 0, 8, 3, 1, 0, 0, 11, 0, 0, 8, 1, 2, 0, 7, 0, 0, 0, 6, 15, 1, 0, 6, 9, 1, 0, 2, 0, 0, 0, 6, 8, 1, 0]"
60,"[1, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 4, 88, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 4, 111, 0, 0, 0, 11, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0]"
61,"[7, 0, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 2, 0, 0, 0, 3, 0, 0, 0, 6, 6, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 0, 6, 1, 0]"
62,"[8, 1, 2, 0, 2, 0, 0, 0, 0, 11, 1, 0, 5, 0, 0, 0, 4, 21, 0, 0, 0, 11, 0, 0, 3, 0, 0, 0, 0, 11, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 6, 7, 1, 0, 4, 100, 0, 0]"
63,"[0, 7, 1, 0, 7, 0, 0, 0, 8, 1, 2, 0, 0, 15, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 8, 2, 2, 0, 6, 9, 1, 0, 6, 15, 1, 0, 0, 12, 0, 0]"
64,"[4, 35, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 0, 10, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 8, 2, 1, 0]"
65,"[1, 0, 0, 0, 6, 4, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 4, 120, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 4, 107, 0, 0, 0, 7, 0, 0, 4, 29, 0, 0, 1, 0, 0, 0]"
66,"[3, 0, 0, 0, 3, 0, 0, 0, 0, 12, 1, 0, 1, 0, 0, 0, 4, 73, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 66, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 4, 58, 0, 0]"
67,"[8, 3, 2, 0, 4, 9, 0, 0, 4, 68, 0, 0, 6, 10, 1, 0, 3, 0, 0, 0, 6, 14, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 5, 0, 0, 0]"
68,"[6, 7, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 6, 15, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 0, 6, 0, 0, 8, 2, 1, 0, 8, 1, 2, 0, 8, 3, 2, 0]"
69,"[5, 0, 0, 0, 4, 64, 0, 0, 6, 15, 1, 0, 2, 1, 0, 0, 0, 12, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 4, 54, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0]"
70,"[8, 1, 2, 0, 1, 0, 0, 0, 4, 117, 0, 0, 8, 3, 1, 0, 6, 9, 0, 0, 0, 5, 0, 0, 8, 3, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 12, 1, 0, 5, 0, 0, 0, 4, 82, 0, 0]"
71,"[6, 4, 0, 0, 4, 121, 0, 0, 3, 0, 0, 0, 4, 86, 0, 0, 4, 57, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 10, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0]"
72,"[0, 11, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 6, 8, 1, 0, 7, 0, 0, 0, 6, 13, 1, 0, 6, 12, 1, 0, 4, 122, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0]"
73,"[5, 0, 0, 0, 4, 119, 0, 0, 8, 3, 2, 0, 8, 3, 2, 0, 7, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 6, 5, 0, 0]"
74,"[8, 2, 1, 0, 5, 0, 0, 0, 5, 0, 0, 0, 6, 7, 0, 0, 0, 5, 1, 0, 6, 7, 1, 0, 6, 10, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0]"
75,"[5, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 7, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 6, 0, 0, 0, 12, 1, 0]"
76,"[1, 0, 0, 0, 0, 8, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 0, 5, 1, 0, 6, 6, 1, 0, 4, 120, 0, 0, 6, 8, 1, 0, 6, 8, 1, 0, 0, 15, 1, 0, 0, 14, 1, 0, 3, 0, 0, 0]"
77,"[7, 0, 0, 0, 0, 12, 1, 0, 4, 91, 0, 0, 3, 0, 0, 0, 4, 102, 0, 0, 5, 0, 0, 0, 8, 2, 2, 0, 4, 72, 0, 0, 8, 1, 1, 0, 2, 1, 0, 0, 8, 2, 2, 0, 8, 3, 2, 0]"
78,"[7, 0, 0, 0, 3, 0, 0, 0, 0, 11, 0, 0, 7, 0, 0, 0, 4, 105, 0, 0, 1, 0, 0, 0, 8, 1, 2, 0, 3, 0, 0, 0, 8, 2, 1, 0, 0, 6, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0]"
79,"[0, 9, 0, 0, 2, 1, 0, 0, 8, 2, 1, 0, 6, 8, 1, 0, 0, 4, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 8, 1, 1, 0, 2, 0, 0, 0, 2, 1, 0, 0, 6, 14, 0, 0, 1, 0, 0, 0]"
80,"[0, 12, 0, 0, 8, 3, 2, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 8, 0, 0, 6, 8, 1, 0, 6, 11, 1, 0, 3, 0, 0, 0]"
81,"[8, 2, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 7, 0, 0, 7, 0, 0, 0, 0, 5, 1, 0, 6, 5, 1, 0, 3, 0, 0, 0]"
82,"[1, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 6, 8, 1, 0, 2, 0, 0, 0, 7, 0, 0, 0, 8, 3, 1, 0, 8, 3, 1, 0, 6, 4, 0, 0, 2, 1, 0, 0, 6, 14, 0, 0, 4, 10, 0, 0]"
83,"[3, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 118, 0, 0, 6, 11, 1, 0, 4, 98, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 6, 14, 0, 0, 1, 0, 0, 0, 0, 11, 1, 0]"
84,"[4, 42, 0, 0, 6, 8, 1, 0, 4, 76, 0, 0, 4, 63, 0, 0, 2, 0, 0, 0, 8, 3, 1, 0, 5, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 8, 2, 2, 0, 3, 0, 0, 0, 2, 0, 0, 0]"
85,"[3, 0, 0, 0, 6, 11, 0, 0, 4, 55, 0, 0, 8, 1, 2, 0, 5, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0]"
86,"[3, 0, 0, 0, 6, 5, 1, 0, 8, 2, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 13, 1, 0, 0, 9, 0, 0, 6, 7, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 8, 1, 2, 0, 6, 8, 0, 0]"
87,"[6, 9, 0, 0, 5, 0, 0, 0, 6, 9, 0, 0, 8, 2, 1, 0, 4, 84, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 6, 14, 0, 0, 6, 4, 1, 0, 7, 0, 0, 0, 4, 61, 0, 0, 1, 0, 0, 0]"
88,"[1, 0, 0, 0, 6, 12, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 14, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0]"
89,"[5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 14, 1, 0, 3, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 8, 1, 2, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 6, 13, 0, 0]"
90,"[6, 13, 0, 0, 2, 1, 0, 0, 6, 8, 1, 0, 5, 0, 0, 0, 8, 2, 2, 0, 0, 10, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 4, 79, 0, 0, 0, 14, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
91,"[1, 0, 0, 0, 6, 15, 0, 0, 4, 76, 0, 0, 1, 0, 0, 0, 4, 22, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 72, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0]"
92,"[3, 0, 0, 0, 6, 6, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 6, 7, 0, 0, 5, 0, 0, 0, 0, 13, 0, 0, 8, 1, 2, 0, 8, 1, 2, 0, 8, 3, 2, 0, 3, 0, 0, 0]"
93,"[2, 1, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 6, 12, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 4, 91, 0, 0, 6, 4, 0, 0, 2, 1, 0, 0]"
