Model,Encoded Chromosome
14,"[8, 2, 2, 0, 8, 1, 1, 0, 8, 2, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 4, 116, 0, 0, 6, 7, 0, 0, 8, 1, 1, 0]"
15,"[1, 0, 0, 0, 5, 0, 0, 0, 6, 9, 1, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 13, 0, 0, 6, 15, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 6, 7, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0]"
16,"[4, 42, 0, 0, 2, 0, 0, 0, 0, 15, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 4, 98, 0, 0, 8, 1, 2, 0, 6, 9, 0, 0, 1, 0, 0, 0, 4, 30, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0]"
17,"[7, 0, 0, 0, 2, 1, 0, 0, 6, 8, 1, 0, 5, 0, 0, 0, 5, 0, 0, 0, 4, 40, 0, 0, 1, 0, 0, 0, 0, 8, 1, 0, 6, 10, 0, 0, 0, 5, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0]"
18,"[8, 3, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 6, 5, 1, 0, 4, 81, 0, 0, 2, 0, 0, 0, 0, 14, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 2, 0, 0, 4, 76, 0, 0, 0, 14, 1, 0]"
19,"[0, 11, 1, 0, 8, 1, 1, 0, 1, 0, 0, 0, 0, 13, 0, 0, 6, 13, 1, 0, 6, 9, 1, 0, 6, 7, 1, 0, 5, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 6, 12, 1, 0, 2, 1, 0, 0]"
20,"[7, 0, 0, 0, 5, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 5, 0, 0, 6, 8, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0]"
21,"[4, 93, 0, 0, 0, 15, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 4, 28, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0]"
22,"[8, 3, 1, 0, 6, 11, 0, 0, 8, 1, 1, 0, 6, 9, 0, 0, 0, 6, 0, 0, 6, 7, 0, 0, 1, 0, 0, 0, 6, 14, 1, 0, 8, 2, 2, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 48, 0, 0]"
23,"[4, 89, 0, 0, 5, 0, 0, 0, 0, 7, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 4, 19, 0, 0, 6, 9, 1, 0, 5, 0, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0]"
24,"[2, 1, 0, 0, 2, 1, 0, 0, 4, 105, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 4, 104, 0, 0, 8, 3, 1, 0, 5, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 6, 10, 1, 0, 4, 126, 0, 0]"
25,"[4, 26, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 12, 0, 0, 1, 0, 0, 0, 6, 5, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 6, 15, 0, 0]"
26,"[4, 102, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 4, 119, 0, 0, 4, 3, 0, 0, 6, 15, 1, 0, 5, 0, 0, 0, 6, 13, 1, 0, 5, 0, 0, 0]"
27,"[7, 0, 0, 0, 4, 72, 0, 0, 6, 15, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 8, 2, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 6, 12, 0, 0, 2, 0, 0, 0]"
28,"[6, 6, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 8, 1, 1, 0, 0, 12, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 4, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 6, 12, 1, 0]"
29,"[0, 11, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 4, 107, 0, 0, 3, 0, 0, 0, 4, 57, 0, 0, 8, 2, 2, 0]"
30,"[2, 1, 0, 0, 4, 85, 0, 0, 6, 12, 0, 0, 1, 0, 0, 0, 6, 10, 0, 0, 6, 5, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 0, 14, 1, 0, 8, 1, 2, 0, 7, 0, 0, 0, 4, 54, 0, 0]"
31,"[1, 0, 0, 0, 5, 0, 0, 0, 8, 1, 2, 0, 0, 5, 1, 0, 4, 58, 0, 0, 4, 11, 0, 0, 6, 5, 0, 0, 6, 14, 1, 0, 1, 0, 0, 0, 0, 4, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0]"
32,"[1, 0, 0, 0, 2, 0, 0, 0, 6, 13, 0, 0, 4, 3, 0, 0, 8, 1, 1, 0, 4, 78, 0, 0, 8, 3, 1, 0, 4, 120, 0, 0, 4, 85, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0]"
33,"[4, 16, 0, 0, 0, 8, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 4, 19, 0, 0, 3, 0, 0, 0, 0, 7, 1, 0, 8, 3, 2, 0, 8, 3, 1, 0, 4, 31, 0, 0]"
34,"[4, 72, 0, 0, 4, 92, 0, 0, 6, 11, 0, 0, 1, 0, 0, 0, 4, 42, 0, 0, 1, 0, 0, 0, 4, 53, 0, 0, 6, 12, 1, 0, 7, 0, 0, 0, 6, 5, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0]"
35,"[8, 3, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 8, 1, 1, 0, 2, 1, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 13, 0, 0, 4, 69, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 4, 11, 0, 0]"
36,"[2, 0, 0, 0, 5, 0, 0, 0, 4, 110, 0, 0, 8, 2, 2, 0, 4, 119, 0, 0, 0, 4, 1, 0, 3, 0, 0, 0, 0, 4, 1, 0, 8, 1, 2, 0, 6, 9, 1, 0, 3, 0, 0, 0, 5, 0, 0, 0]"
37,"[2, 0, 0, 0, 6, 5, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 89, 0, 0, 0, 4, 1, 0, 0, 9, 1, 0, 2, 0, 0, 0, 6, 7, 1, 0, 6, 8, 0, 0]"
38,"[4, 61, 0, 0, 0, 15, 1, 0, 3, 0, 0, 0, 8, 2, 1, 0, 2, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 0, 8, 0, 0, 4, 127, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0]"
39,"[3, 0, 0, 0, 4, 24, 0, 0, 0, 15, 0, 0, 4, 106, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 8, 2, 1, 0, 0, 11, 1, 0, 5, 0, 0, 0, 6, 9, 1, 0]"
40,"[7, 0, 0, 0, 2, 1, 0, 0, 8, 1, 2, 0, 5, 0, 0, 0, 6, 6, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 4, 77, 0, 0, 5, 0, 0, 0]"
41,"[2, 1, 0, 0, 7, 0, 0, 0, 4, 90, 0, 0, 8, 3, 2, 0, 4, 33, 0, 0, 6, 5, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 5, 0, 0, 0, 12, 1, 0, 3, 0, 0, 0, 4, 104, 0, 0]"
42,"[4, 53, 0, 0, 6, 4, 1, 0, 5, 0, 0, 0, 8, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 8, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 6, 15, 1, 0]"
43,"[6, 7, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 4, 75, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 8, 3, 1, 0]"
44,"[0, 15, 0, 0, 4, 86, 0, 0, 6, 7, 1, 0, 1, 0, 0, 0, 0, 7, 0, 0, 2, 1, 0, 0, 8, 2, 1, 0, 8, 1, 2, 0, 3, 0, 0, 0, 6, 6, 1, 0, 1, 0, 0, 0, 0, 7, 0, 0]"
45,"[8, 1, 2, 0, 5, 0, 0, 0, 0, 8, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 6, 15, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8, 2, 1, 0]"
46,"[5, 0, 0, 0, 4, 73, 0, 0, 6, 9, 1, 0, 6, 4, 1, 0, 6, 4, 1, 0, 3, 0, 0, 0, 8, 1, 1, 0, 8, 3, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 6, 10, 0, 0]"
47,"[4, 57, 0, 0, 1, 0, 0, 0, 4, 125, 0, 0, 6, 9, 1, 0, 5, 0, 0, 0, 4, 70, 0, 0, 6, 4, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 6, 15, 1, 0, 5, 0, 0, 0, 4, 15, 0, 0]"
48,"[6, 9, 1, 0, 8, 1, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 0, 14, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 3, 1, 0, 3, 0, 0, 0, 0, 14, 0, 0, 7, 0, 0, 0]"
49,"[3, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 0, 14, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 4, 72, 0, 0, 4, 19, 0, 0]"
50,"[6, 5, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 6, 13, 0, 0, 6, 6, 1, 0, 8, 2, 1, 0, 0, 9, 1, 0, 2, 0, 0, 0, 7, 0, 0, 0, 0, 4, 1, 0, 0, 8, 0, 0, 7, 0, 0, 0]"
51,"[1, 0, 0, 0, 5, 0, 0, 0, 0, 13, 1, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 13, 0, 0, 8, 3, 2, 0, 5, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 6, 14, 0, 0, 5, 0, 0, 0]"
52,"[3, 0, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 4, 116, 0, 0, 4, 30, 0, 0, 4, 32, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 8, 3, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
53,"[5, 0, 0, 0, 4, 5, 0, 0, 0, 9, 1, 0, 7, 0, 0, 0, 0, 14, 1, 0, 2, 1, 0, 0, 8, 3, 2, 0, 2, 1, 0, 0, 3, 0, 0, 0, 8, 2, 1, 0, 2, 1, 0, 0, 4, 123, 0, 0]"
54,"[3, 0, 0, 0, 8, 3, 1, 0, 3, 0, 0, 0, 6, 14, 1, 0, 4, 13, 0, 0, 2, 0, 0, 0, 4, 5, 0, 0, 0, 13, 0, 0, 6, 8, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 3, 0, 0, 0]"
55,"[7, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 6, 10, 0, 0, 0, 10, 1, 0, 6, 7, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0]"
56,"[2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 4, 90, 0, 0, 4, 53, 0, 0, 0, 8, 1, 0, 5, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 8, 3, 1, 0]"
57,"[0, 5, 1, 0, 6, 14, 0, 0, 0, 7, 1, 0, 4, 16, 0, 0, 0, 14, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 4, 34, 0, 0, 8, 3, 2, 0, 4, 30, 0, 0, 3, 0, 0, 0, 0, 4, 1, 0]"
58,"[8, 1, 1, 0, 6, 15, 0, 0, 0, 5, 1, 0, 0, 10, 0, 0, 3, 0, 0, 0, 4, 51, 0, 0, 1, 0, 0, 0, 6, 14, 1, 0, 8, 1, 2, 0, 2, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0]"
59,"[4, 109, 0, 0, 3, 0, 0, 0, 0, 11, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 8, 1, 1, 0, 4, 80, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 8, 3, 1, 0, 6, 5, 1, 0]"
60,"[1, 0, 0, 0, 8, 2, 1, 0, 4, 9, 0, 0, 8, 2, 2, 0, 6, 10, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 4, 56, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 0, 6, 0, 0]"
61,"[6, 11, 0, 0, 6, 11, 1, 0, 4, 43, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 4, 55, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 6, 9, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0]"
62,"[1, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 8, 2, 2, 0, 1, 0, 0, 0]"
63,"[4, 54, 0, 0, 4, 44, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 4, 29, 0, 0, 8, 1, 2, 0, 8, 3, 1, 0, 5, 0, 0, 0]"
64,"[2, 1, 0, 0, 4, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 4, 58, 0, 0]"
65,"[2, 1, 0, 0, 1, 0, 0, 0, 6, 14, 1, 0, 4, 71, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 8, 3, 1, 0, 0, 4, 1, 0, 1, 0, 0, 0]"
66,"[6, 9, 1, 0, 6, 10, 1, 0, 0, 5, 0, 0, 6, 5, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 4, 108, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 13, 0, 0, 5, 0, 0, 0, 8, 2, 2, 0]"
67,"[0, 14, 1, 0, 6, 8, 0, 0, 6, 10, 1, 0, 6, 11, 1, 0, 1, 0, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
68,"[2, 0, 0, 0, 4, 59, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 6, 15, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 4, 41, 0, 0]"
69,"[6, 7, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 8, 3, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0]"
70,"[0, 9, 1, 0, 0, 10, 0, 0, 4, 39, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 0, 7, 0, 0, 3, 0, 0, 0, 8, 1, 2, 0, 2, 1, 0, 0, 8, 3, 2, 0, 4, 49, 0, 0]"
71,"[3, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 4, 19, 0, 0, 2, 0, 0, 0, 0, 7, 0, 0, 4, 115, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0]"
72,"[7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 4, 38, 0, 0, 6, 6, 1, 0, 8, 1, 1, 0, 5, 0, 0, 0, 0, 11, 1, 0, 6, 9, 1, 0, 6, 6, 0, 0, 5, 0, 0, 0]"
73,"[8, 3, 2, 0, 4, 14, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8, 2, 2, 0, 5, 0, 0, 0, 0, 4, 1, 0, 4, 103, 0, 0, 6, 9, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0]"
74,"[4, 114, 0, 0, 4, 34, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 4, 60, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 6, 8, 1, 0, 2, 1, 0, 0]"
75,"[0, 7, 0, 0, 5, 0, 0, 0, 4, 62, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 4, 32, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 5, 0, 0]"
76,"[4, 49, 0, 0, 3, 0, 0, 0, 6, 13, 0, 0, 4, 52, 0, 0, 6, 6, 1, 0, 6, 7, 1, 0, 7, 0, 0, 0, 8, 3, 2, 0, 8, 1, 1, 0, 0, 13, 1, 0, 6, 7, 0, 0, 3, 0, 0, 0]"
77,"[6, 12, 0, 0, 3, 0, 0, 0, 8, 3, 2, 0, 7, 0, 0, 0, 1, 0, 0, 0, 8, 1, 2, 0, 2, 1, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 112, 0, 0]"
78,"[5, 0, 0, 0, 6, 7, 0, 0, 2, 0, 0, 0, 8, 3, 1, 0, 6, 14, 0, 0, 4, 116, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 4, 25, 0, 0]"
79,"[7, 0, 0, 0, 8, 1, 2, 0, 8, 1, 1, 0, 0, 6, 1, 0, 4, 21, 0, 0, 3, 0, 0, 0, 4, 86, 0, 0, 3, 0, 0, 0, 0, 12, 1, 0, 6, 4, 1, 0, 4, 61, 0, 0, 8, 3, 1, 0]"
80,"[5, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 6, 8, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 8, 3, 1, 0, 5, 0, 0, 0, 4, 10, 0, 0, 2, 1, 0, 0, 0, 15, 0, 0]"
81,"[1, 0, 0, 0, 4, 24, 0, 0, 4, 98, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 0, 15, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 12, 1, 0, 8, 3, 1, 0, 6, 14, 1, 0, 3, 0, 0, 0]"
82,"[4, 77, 0, 0, 8, 1, 2, 0, 7, 0, 0, 0, 4, 105, 0, 0, 1, 0, 0, 0, 0, 15, 0, 0, 4, 108, 0, 0, 8, 2, 1, 0, 3, 0, 0, 0, 0, 7, 0, 0, 0, 14, 1, 0, 3, 0, 0, 0]"
83,"[0, 8, 1, 0, 4, 8, 0, 0, 2, 1, 0, 0, 8, 2, 1, 0, 8, 1, 1, 0, 6, 6, 1, 0, 4, 101, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 0, 9, 1, 0, 2, 1, 0, 0]"
84,"[8, 2, 2, 0, 5, 0, 0, 0, 2, 1, 0, 0, 0, 4, 1, 0, 4, 92, 0, 0, 0, 15, 1, 0, 5, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8, 3, 2, 0, 6, 9, 1, 0]"
85,"[2, 1, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 4, 1, 0, 8, 2, 1, 0, 0, 9, 0, 0, 3, 0, 0, 0, 4, 78, 0, 0]"
86,"[6, 9, 1, 0, 0, 10, 1, 0, 4, 10, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 6, 9, 0, 0, 3, 0, 0, 0, 0, 13, 0, 0, 2, 1, 0, 0, 6, 13, 0, 0, 6, 12, 0, 0]"
87,"[1, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 4, 27, 0, 0, 5, 0, 0, 0, 4, 112, 0, 0, 8, 1, 2, 0, 3, 0, 0, 0, 6, 11, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0]"
88,"[4, 79, 0, 0, 0, 4, 1, 0, 1, 0, 0, 0, 8, 1, 1, 0, 4, 125, 0, 0, 1, 0, 0, 0, 0, 8, 1, 0, 0, 7, 1, 0, 0, 5, 1, 0, 2, 1, 0, 0, 4, 95, 0, 0, 0, 8, 0, 0]"
89,"[0, 6, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 2, 0, 0, 0, 8, 3, 2, 0, 2, 1, 0, 0, 8, 3, 2, 0, 0, 4, 1, 0, 8, 2, 2, 0, 5, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0]"
90,"[8, 2, 2, 0, 6, 11, 1, 0, 0, 14, 1, 0, 8, 1, 2, 0, 0, 11, 1, 0, 3, 0, 0, 0, 6, 15, 1, 0, 4, 111, 0, 0, 8, 2, 1, 0, 6, 8, 1, 0, 6, 14, 0, 0, 4, 16, 0, 0]"
91,"[3, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 123, 0, 0, 0, 15, 0, 0, 5, 0, 0, 0, 0, 13, 1, 0, 3, 0, 0, 0, 6, 13, 0, 0, 7, 0, 0, 0, 6, 4, 1, 0]"
92,"[1, 0, 0, 0, 1, 0, 0, 0, 8, 1, 1, 0, 4, 63, 0, 0, 8, 1, 2, 0, 1, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 8, 1, 1, 0, 5, 0, 0, 0]"
93,"[6, 11, 0, 0, 6, 14, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 0, 12, 0, 0, 0, 5, 1, 0, 4, 10, 0, 0, 6, 13, 0, 0, 5, 0, 0, 0]"
