Model,Layer,Parameter1,Parameter2,Parameter3
7,4,0.8847070887162684,0.41701809592972816,0.26287604202374026
7,5,0.8036690055370355,0.3764783940689752,0.751405154170304
7,6,0.22724244696665877,0.8468742360463984,0.6000470958179751
7,7,0.7800823468536889,0.03843275423466082,0.4709582394294401
7,8,0.014050671601584911,0.7003727544033148,0.21604633034252835
7,9,0.19177092669483423,0.34255003880356977,0.9621911050793694
7,10,0.7330540848530999,0.19992996244837385,0.618447704479723
7,11,0.7620310480652703,0.391547339014358,0.4222850455602703
7,12,0.2567354557442238,0.9648573199849875,0.6411925468206607
8,1,0.14356879621494362,0.991804145809808,0.7881872794495457
8,2,0.4578852038886351,0.6519477562051565,0.02500209855811568
8,3,0.4729437912265018,0.5492826993050699,0.5545963986376675
8,4,0.8930546089276181,0.9480113320804651,0.5459943468273679
8,5,0.6997262066523439,0.8533911420982673,0.3183471210783984
8,6,0.028160195903944807,0.6127410717622318,0.3531189304686096
8,7,0.5989285939772347,0.4426983610289594,0.637257656102714
8,8,0.8952340142377353,0.3192980987757654,0.14045815386749924
8,9,0.8431107340193608,0.5758120959278694,0.7017513509741021
8,10,0.06643108494092663,0.46130808611649887,0.28942996355868583
8,11,0.3704129241078995,0.5063734074077824,0.8947143526729702
8,12,0.04614856954881547,0.919044165369684,0.8647548019900764
9,1,0.25358272667638326,0.8850769474450799,0.5693719996506527
9,2,0.25116167241798154,0.9750134081140546,0.7908503848966986
9,3,0.5952180804617632,0.5192198549770348,0.8172380009417524
9,4,0.3782124206368234,0.855265853413038,0.7633526022997255
9,5,0.8317318850447714,0.7447220273191956,0.7082620753879665
9,6,0.20966524335475342,0.42754231119151864,0.29156348493348105
9,7,0.11336361783903634,0.055298156817217954,0.7379325394240098
9,8,0.8387503013660109,0.9249080366810409,0.07276137722131681
9,9,0.5813345498544946,0.7185497099157658,0.10398144448139045
9,10,0.3520073686121887,0.5539513729383245,0.2786481052291727
9,11,0.004427985089200382,0.8548396945663412,0.8042964467867598
9,12,0.8589889912476076,0.18553522238916095,0.6272675633593877
10,1,0.5169264346503085,0.3339099270318588,0.8349347130031779
10,2,0.6698795300291602,0.8748007977048318,0.7458983378929614
10,3,0.07332814196883199,0.6606769960656688,0.6355203785259385
10,4,0.708008429973057,0.19314962682995943,0.08671613714612937
10,5,0.0044887145191422955,0.8039456132196128,0.9476337961351227
10,6,0.41354737768190986,0.7969071367697809,0.7425939913360528
10,7,0.6818581547641602,0.9496478821564631,0.6838731825416646
10,8,0.31743700892254356,0.7540613364993606,0.6967500799316941
10,9,0.03141051940025884,0.28384949267420434,0.8952315682753008
10,10,0.14000471943202003,0.3610935844979148,0.08563374115025066
10,11,0.5004571631082807,0.8003786823445037,0.5936808881712816
10,12,0.5701258763317869,0.8014340357348323,0.7135021250275139
11,1,0.6495595365145269,0.37943902888805564,0.9931816440009087
11,2,0.10031059931188883,0.39212598129105997,0.9997990604757364
11,3,0.9648034480799785,0.11124934172098687,0.23403657256746807
11,4,0.5854541232995409,0.687331653945402,0.7979926034606943
11,5,0.549237290569663,0.1708212877080072,0.10156690241033399
11,6,0.8217559738792937,0.5564239987793215,0.26733160285722823
11,7,0.443551123805726,0.21247416373298414,0.27107365935070626
11,8,0.6696505866380017,0.08109500232132158,0.04684027718356425
11,9,0.1637131727963259,0.15445617639406217,0.5159568822359668
11,10,0.29942571680373925,0.14138791723660515,0.5446962027252094
11,11,0.2581537658601261,0.32829444749921444,0.5840800472418574
11,12,0.11233204980668615,0.5450630730004187,0.6786413867145583
12,1,0.9918214473876288,0.9070845308457857,0.5470592265820453
12,2,0.7848111288208293,0.7589077003957616,0.7081913643229177
12,3,0.603881915021447,0.3181147437997335,0.6519360602416633
12,4,0.5147391643003615,0.3052365285497388,0.38623305580337
12,5,0.8516049787764254,0.5785855927879704,0.10701257808376484
12,6,0.6026173050207086,0.4782126831762041,0.725792082430752
12,7,0.3799712340847097,0.784244031480574,0.8163852788864965
12,8,0.0037449723731681865,0.9417146703706087,0.5335671928495825
12,9,0.25182507444104946,0.24376169204805892,0.6087839794707199
12,10,0.36916279888491205,0.09358176168942331,0.5599604967159172
12,11,0.6515518819387016,0.7049109621556066,0.45649287570623903
12,12,0.4448505056364899,0.5609289634799334,0.3780435269156776
13,1,0.21076401065485809,0.2759294865107888,0.3223129639566454
13,2,0.25669650252145326,0.9614252385564548,0.5102528881061285
13,3,0.6810628724198098,0.24251352274274152,0.3543995608095443
13,4,0.01370163650207291,0.9525106832696041,0.9437740156941345
13,5,0.1877771925027601,0.9401751207787428,0.8749620424564433
13,6,0.07912365770763008,0.08030708916086933,0.1679111173830111
13,7,0.267617495833471,0.08375212852068355,0.5178905014889971
13,8,0.5025395441548907,0.8493793843982916,0.1501791145660243
13,9,0.599328715607458,0.41982446375371424,0.18176981254268418
13,10,0.6400646815423378,0.5165437771160508,0.006199724099850453
13,11,0.9567612669555716,0.7601298434323861,0.13948072961297459
13,12,0.557674987171438,0.7839758977653989,0.8289386920616179
14,1,0.4176518932243431,0.9697057520543115,0.8667395398000416
14,2,0.5301137467158384,0.2881761237284493,0.366157521701306
14,3,0.5904246343347568,0.6335379198404891,0.2686274222127843
14,4,0.06852849889411329,0.11648955063198733,0.5900614359425367
14,5,0.9762490179378833,0.5141253589832008,0.5195815539045556
14,6,0.4617060577880037,0.3704619215374499,0.6950517987502653
14,7,0.2820689314635087,0.041307626660557914,0.4127610830283477
14,8,0.6192624913117956,0.2968838877317672,0.09738289457278243
14,9,0.6700615249530771,0.04371125309294643,0.957297604127159
14,10,0.6827494470377049,0.5813903116107988,0.4271269845398155
14,11,0.31987807340456126,0.5971581149695934,0.4486305679538343
14,12,0.1980789077291439,0.33123956840069346,0.5120510487880541
15,1,0.3863193268842977,0.37437443834810463,0.5753740568406898
15,2,0.8035927836193196,0.5850388473792862,0.8591587510325552
15,3,0.8426896002620377,0.9502404682176224,0.11102092273925292
15,4,0.2868590578612707,0.4351363909811329,0.8547415521724053
15,5,0.10116589651490192,0.8362537296196635,0.02986267648500831
15,6,0.9525542992973902,0.7684180406988257,0.41193538548549186
15,7,0.881087591337535,0.47071507395428747,0.3530583470484525
15,8,0.3397687053752849,0.006936545811713648,0.8854399560183775
15,9,0.7935248256377907,0.43877987541176067,0.3337407746068454
15,10,0.5606288172018389,0.15743367657642168,0.14995434694003215
15,11,0.7739243584710115,0.27590414998725094,0.2883542512096142
15,12,0.724623136035386,0.47598468516342185,0.8972075583207694
16,1,0.9608238834922819,0.6592938107769672,0.6944007822642944
16,2,0.8475113171710728,0.8839616165840753,0.5852260159570318
16,3,0.5109364331107865,0.3110094712823876,0.5394713533677241
16,4,0.9429118743077572,0.33418339519159496,0.17565405471762233
16,5,0.9430068985924933,0.5361878865357094,0.7318110197458382
16,6,0.16608812989507798,0.7198476653486937,0.5696784101890986
16,7,0.0515798169169442,0.5139253445180465,0.7811543781089677
16,8,0.5836795699592342,0.6903379623454999,0.27029997550224394
16,9,0.28653234604058614,0.6314431838794681,0.3490650546369347
16,10,0.2755087085766418,0.05900084507863011,0.8347414023669418
16,11,0.9533844163349058,0.6405042013353364,0.8636404777053315
16,12,0.46535621068164273,0.6005161623686943,0.554385551297615
17,1,0.9091909530354545,0.6053903143532399,0.8585788298738453
17,2,0.029484835201712065,0.1564663394694319,0.4593249656373598
17,3,0.6509616528770972,0.5667186438134337,0.5679510511980849
17,4,0.357049635149263,0.5902585196322379,0.09020647377280686
17,5,0.4271819682943605,0.7346258225998712,0.2489769899024643
17,6,0.8275052987162614,0.41866172898919235,0.7799626072153013
17,7,0.43502901792685245,0.4991855335743796,0.6463675375186143
17,8,0.42155747734584476,0.39530621021544377,0.10576147445468331
17,9,0.6239167322617747,0.2797673963958719,0.45198816775360556
17,10,0.39115924398257795,0.023179864119199894,0.9962620400046542
17,11,0.6559130576702549,0.11518737742910201,0.9339837502796146
17,12,0.9080678034094253,0.06596413470973642,0.4042522473464023
18,1,0.4252514079313447,0.10851080912637767,0.35460765042845
18,2,0.9545852867397218,0.16374626566694692,0.09734917155294462
18,3,0.48327624722049967,0.9426244898600264,0.48461749452119257
18,4,0.7327055685920213,0.7546446096904498,0.3717705758781329
18,5,0.012571684535395079,0.5690984857440261,0.42599983786308127
18,6,0.3737916894421179,0.686763998949334,0.1873705457870571
18,7,0.8266969852739541,0.36530242917652295,0.4050989656988794
18,8,0.31165545774620307,0.3904957771348575,0.5649673763822609
18,9,0.21304168865361164,0.5743749997742229,0.08673487314152666
18,10,0.5121481910554383,0.0046183371750760085,0.4107198859886396
18,11,0.5660411534480873,0.07315653757729462,0.7808886729254112
18,12,0.7299908517430969,0.4060308192404282,0.21996761524839678
19,1,0.35346281990913686,0.008498801104038537,0.02483256786477354
19,2,0.14548540301117732,0.10376271399510203,0.21967990352574115
19,3,0.360014088860193,0.8181616935672529,0.9814963931248074
19,4,0.6231517675713286,0.5434152665030881,0.3843847143055796
19,5,0.06673211182309703,0.05435123459695029,0.1357977805548236
19,6,0.5041294407964021,0.8401067383872024,0.8400770685947908
19,7,0.5620423429899823,0.07515337057769313,0.9807065156743299
19,8,0.9236665513966786,0.7610726012335101,0.4390163942504256
19,9,0.9485860050843772,0.10566990871666151,0.0772236423072988
19,10,0.8681646748544692,0.832422812780165,0.21499810661065255
19,11,0.4154534439313548,0.6478754404842043,0.9832210508104269
19,12,0.5892066288006335,0.23146723057636523,0.8871431703179573
20,1,0.4323537261255256,0.5391187022382203,0.17282482829242382
20,2,0.7722474237112904,0.5123890944954266,0.4993075072364802
20,3,0.8933078190015454,0.9256622622110937,0.10758049929026813
20,4,0.9460121126427743,0.28200781539653497,0.08072302607432098
20,5,0.6202800860063423,0.15667863848039398,0.6716292969235965
20,6,0.8674345905000452,0.5434864901284834,0.7103925667141502
20,7,0.19358616961851516,0.16390207156411504,0.16378144471482195
20,8,0.3859481756456825,0.6952215236077515,0.1231163351380398
20,9,0.7514109867754786,0.6242431843406594,0.5908086556003029
20,10,0.6763235224730559,0.5099800003398752,0.8146482718993601
20,11,0.008059247257784246,0.969169146376045,0.13072049802513602
20,12,0.5167663055069976,0.6623990849639151,0.5099964042809148
21,1,0.610719532413163,0.9314440598500741,0.0945008466215597
21,2,0.3964528722934141,0.9291970614535707,0.1617518244281895
21,3,0.014940295676762758,0.6872900545996533,0.8445394729382668
21,4,0.11185180251547039,0.21330533600770082,0.4446005821622269
21,5,0.4150652097826383,0.8483243606371536,0.5595868602967042
21,6,0.5643259082705849,0.27611141312255977,0.2841336148134905
21,7,0.9963924736566173,0.8375751581287287,0.5910874519266772
21,8,0.49696271474553994,0.9184574468649097,0.9441775057174474
21,9,0.12217247583271575,0.13755359035424475,0.19146126433624777
21,10,0.1846156175450994,0.678671867562014,0.5688936448298564
21,11,0.2509828182481042,0.7595530212364144,0.08266665801109228
21,12,0.5696728255886868,0.24812973468420432,0.015377860367407578
22,1,0.6443066292873962,0.8799978018194884,0.5179311542570892
22,2,0.19032822219319429,0.23506921391870872,0.6954608766055157
22,3,0.1871226215885356,0.33181522533093644,0.9984818133722068
22,4,0.5624016703998275,0.44446732857081633,0.8253847286013704
22,5,0.26224608850829323,0.5076768345607502,0.1401140772447394
22,6,0.5816022255919291,0.5253776258590436,0.35751403855695046
22,7,0.73743358416318,0.279539625923665,0.31708584473972845
22,8,0.22668831690010308,0.13162621552581485,0.866587669619467
22,9,0.848263659593404,0.0925809816820538,0.21437597039813935
22,10,0.4838069437362535,0.6031621535844979,0.6118441971436693
22,11,0.35776971123829626,0.5258241008210033,0.47808959896577563
22,12,0.40267779548208,0.30524468331288757,0.24842857681974725
23,1,0.15100495304740852,0.7784475597376221,0.19318037150099612
23,2,0.3825709370984814,0.06785591845171295,0.3035215134087097
23,3,0.7290717335175804,0.45800487841345133,0.4729391198534661
23,4,0.490884743862873,0.8525186132838155,0.7469400231774156
23,5,0.8277974574109643,0.811910191756096,0.47402139099746765
23,6,0.9568294788217117,0.5244213234558214,0.03051568309274052
23,7,0.13147318189578922,0.5047246151445229,0.06680289156026537
23,8,0.11133190455820825,0.09170960978717663,0.48946674697845244
23,9,0.7210910775775365,0.792508599196203,0.8020379996913717
23,10,0.8443920148598203,0.4290745157929727,0.3805718775779929
23,11,0.6652477804125686,0.044694848062625255,0.764691464213463
23,12,0.902375328032304,0.31118472762007043,0.3866541678434919
24,1,0.1746792688875297,0.03161940519206004,0.4781764093557919
24,2,0.5355548906782776,0.8202718105220083,0.5035047368239304
24,3,0.6284105582683724,0.28926967627354183,0.03491051671990702
24,4,0.7386460999711879,0.5315085644846612,0.8784339714917782
24,5,0.496796186031852,0.946476138459184,0.5539785140948663
24,6,0.7500341642863628,0.6919809885215268,0.4982023873360787
24,7,0.6340451822518941,0.4634639549857236,0.6888991073585536
24,8,0.9473864205628534,0.060450001840205485,0.8816979920702639
24,9,0.11508630125119226,0.6571999117357079,0.8868770080860993
24,10,0.6481457669178001,0.4007509706125608,0.19648511786256126
24,11,0.5448276092010141,0.2550710173726234,0.7438264100599034
24,12,0.5283521189448832,0.22977514036915558,0.11220726274372142
25,1,0.7697749606455043,0.4925066023630909,0.7321476046553926
25,2,0.5435911291988155,0.860834337011718,0.4186866700597294
25,3,0.07939056225965069,0.6940112621536247,0.305166330663431
25,4,0.34250734422288487,0.32129736239594286,0.9066577939441707
25,5,0.17862806595029757,0.8334149147817463,0.08870059612972579
25,6,0.2323028398059795,0.657125398167737,0.6182302860698886
25,7,0.8593315258350702,0.31937532201236185,0.8855769376072175
25,8,0.2450055069087203,0.5598670215765436,0.15791155396843704
25,9,0.13719621044256514,0.5665091001101863,0.3929458981948806
25,10,0.8904905009085554,0.09988401824147405,0.7709279805812113
25,11,0.8544500348496746,0.4601511951284118,0.79086938198652
25,12,0.9597524788373076,0.11057629887468519,0.94294309137272
26,1,0.6513202523602911,0.6391073985250579,0.9294202244886521
26,2,0.717410792713194,0.9141927717968947,0.10347071091956615
26,3,0.850829208909946,0.16468731574341025,0.2743480725413663
26,4,0.8279732288651694,0.9302767566180017,0.3235488747605678
26,5,0.14421170859152482,0.3228648423787469,0.4854492997494757
26,6,0.8534266830514784,0.07176141666072794,0.6263892133970024
26,7,0.042530336835238915,0.6613279036142619,0.6244437141599075
26,8,0.5891604386537934,0.4711445501441366,0.41402684659103267
26,9,0.20923499569728413,0.8103047018498362,0.22564348540478016
26,10,0.9895573677448806,0.7645499080503949,0.07088478754939
26,11,0.8881040098188081,0.9002074361780175,0.22253471639765346
26,12,0.8603761893309702,0.11562852976542856,0.11685631952640732
27,1,0.7778847072552871,0.7042741096669731,0.9847224143122797
27,2,0.8312809049955512,0.0014704238197696807,0.5686047845330274
27,3,0.38265371064419484,0.17317913320474185,0.4537129645412775
27,4,0.08631456581754517,0.6910751560409416,0.3417405615401589
27,5,0.7869413944249056,0.8928861513530368,0.6357573409323817
27,6,0.27839114750548527,0.19774217304225147,0.06087831650206363
27,7,0.3274018839486387,0.967517487188382,0.8654033883613603
27,8,0.8910702600106954,0.7331345918004423,0.19961486312812166
27,9,0.9573823499268235,0.7848054758959796,0.48899293697868035
27,10,0.091243357629354,0.7858097215777352,0.8258863467086729
27,11,0.2027349747192332,0.8852605595238577,0.31467663367638754
27,12,0.22869275957434165,0.39863320581492356,0.7394937767343845
28,1,0.13255433102845574,0.4497228857756493,0.2027548507727642
28,2,0.37298329596488733,0.03915670495290135,0.45410895260558987
28,3,0.38791921994668366,0.8439619830364231,0.017289385879311527
28,4,0.07019298885539767,0.2740379430546934,0.3063254998440009
28,5,0.1509380377439789,0.6570310185307564,0.7830633018195776
28,6,0.6660600198306247,0.8913586572621663,0.003725176560328708
28,7,0.7258299652265756,0.9904144356364731,0.3819404622348415
28,8,0.537578451064076,0.5519457837338642,0.81807257493085
28,9,0.4290482166301509,0.7338890997562842,0.739631812420161
28,10,0.943826953500356,0.21645889592828493,0.3016552432754582
28,11,0.12392533063208178,0.26027189163281195,0.6299874405262798
28,12,0.5635184446231667,0.9319975348374319,0.17409245079929092
29,1,0.5310176384039254,0.2225201589521699,0.9100989984088504
29,2,0.31132525491843044,0.6720451194500421,0.3432879948319418
29,3,0.881997668799904,0.22935790115337806,0.9559102443427431
29,4,0.626109314294912,0.468370354075225,0.41358725116709705
29,5,0.962141039770243,0.5707433141524806,0.8946885407831078
29,6,0.2706054386697742,0.2544542760630286,0.6315526489630869
29,7,0.5507329101923856,0.5324169454155587,0.7595080973243964
29,8,0.6500512288723217,0.47875137296931636,0.4256506394840981
29,9,0.008747449176039064,0.38484448468329663,0.4588918968571184
29,10,0.41703828456721503,0.10059307663807358,0.5135937830396174
29,11,0.3693359610922477,0.9593073197634491,0.28213238964390186
29,12,0.9492175177036948,0.9880793919501163,0.7411056724898597
30,1,0.8923872588863854,0.8950423454229751,0.5076278609050924
30,2,0.16400040756636966,0.21604053799396197,0.7726688694981347
30,3,0.39286867363433253,0.5365296367859688,0.9635455228399532
30,4,0.8726792551751615,0.410564779315832,0.8646004834814691
30,5,0.8073814247158072,0.5815158298644663,0.7488198160367069
30,6,0.3796287737956379,0.749205832660342,0.40462152973587795
30,7,0.1876742187870951,0.84145892898496,0.970287523650981
30,8,0.8660367401637132,0.04055125704447163,0.9940296073188404
30,9,0.09009284839838617,0.25673737747745395,0.7578662836083196
30,10,0.21616048752008304,0.5415552250541441,0.7166746723876234
30,11,0.8696971014823579,0.24391462350584317,0.8268998272339594
30,12,0.20886434964335265,0.3455968551072019,0.635072563777016
31,1,0.018648748438839187,0.27203149798934506,0.6832607491666693
31,2,0.7962030516967946,0.8694917695606849,0.5621938871973065
31,3,0.5547792799710921,0.7297865445744258,0.6611445164514062
31,4,0.5050115520013442,0.03453267694244695,0.7382879095803031
31,5,0.858359679825547,0.19329388537731065,0.5229825922000004
31,6,0.6331255655368008,0.22812541883582357,0.22956668387767346
31,7,0.764341697685675,0.25364965867264755,0.11214194057631158
31,8,0.9672746624171142,0.43998591487775646,0.16424561411774902
31,9,0.10063998231468818,0.8543693868183131,0.9931955844699832
31,10,0.4791062847580725,0.194865236926847,0.35567438209609153
31,11,0.7241845704678556,0.6351291282035112,0.013863413023681895
31,12,0.037423502379897,0.822471406361923,0.7267404990117181
32,1,0.8964565591498218,0.6417806428868056,0.8720595981995497
32,2,0.28594598506070246,0.27911540959280867,0.6582343041463206
32,3,0.7470769164984743,0.6197845315966347,0.9673935395742389
32,4,0.9710234610378037,0.5545595882849012,0.7280431591588113
32,5,0.13713486373334247,0.4592511166235997,0.7447979867693441
32,6,0.7976810788843726,0.9501427040009705,0.7999734937936969
32,7,0.9534683578050401,0.22901550558766665,0.945356212232071
32,8,0.4586263947640995,0.658118492311434,0.4483088002021973
32,9,0.05596505619978017,0.39530127988807523,0.3399872931182568
32,10,0.8259197026628169,0.3178232043254638,0.6732186029128646
32,11,0.5162876462757929,0.6096652949223685,0.8327651952967866
32,12,0.5382785906591385,0.4545519787641386,0.07934407896635154
33,1,0.6916762054315817,0.9357328497977098,0.19632606407625167
33,2,0.3161549450234281,0.04753663085919228,0.07626944754648056
33,3,0.08216597122907147,0.6509698544940976,0.12867886461900713
33,4,0.7236203670246063,0.4473621666001114,0.8592692933005378
33,5,0.7530529605582528,0.4815231876088818,0.582757508985025
33,6,0.46601859981517363,0.46470697472788824,0.2785328141867961
33,7,0.7788343701513628,0.9333364370718388,0.29835161313424247
33,8,0.03372796195492989,0.8789273263800083,0.10407316987440092
33,9,0.5461538692449474,0.47654770072214864,0.41963274196440536
33,10,0.023431526127461882,0.9852782885221594,0.4048935509606494
33,11,0.5716688832722081,0.9308809269835177,0.799023900053408
33,12,0.40625273521755967,0.8480232593685513,0.24333753660976834
34,1,0.04097910301206445,0.34273609631801705,0.7616977172024612
34,2,0.17220582946467328,0.526006119300177,0.7864303430632746
34,3,0.845044931629489,0.8579155486198812,0.4456000193268386
34,4,0.2387727667338143,0.6036063777345158,0.24979034088250626
34,5,0.41091338270162925,0.7114639915704711,0.6941046848583731
34,6,0.2962692328555106,0.6964207241478171,0.8988585656205869
34,7,0.3567931096649155,0.8010433219125538,0.723487323674595
34,8,0.883640451373825,0.667147000339868,0.47461310013465857
34,9,0.46111458317548903,0.053692846814702086,0.8520575200036705
34,10,0.23668886919271212,0.39670297862133114,0.0678329944365608
34,11,0.8311958169199899,0.47726761486901415,0.1551711181777538
34,12,0.9181519712287786,0.9729801612975003,0.31557515856887997
35,1,0.9525389688628045,0.01824724510242482,0.1764411509716782
35,2,0.33204926265538787,0.846790560143266,0.3185169269547463
35,3,0.9478155640300427,0.8243777604110669,0.6071460473510875
35,4,0.0007326868793112789,0.6255566410896386,0.7121080267702979
35,5,0.023593563311448906,0.8647664251149245,0.8207119000815585
35,6,0.8045123060544807,0.6499394384208337,0.47750916537253135
35,7,0.6545845087023447,0.030841963979339488,0.05057109635207339
35,8,0.5068150640579813,0.4327061541392051,0.5839707713681568
35,9,0.6077535198702333,0.5995634370979734,0.558915200477284
35,10,0.3349063420308837,0.6974570529593974,0.39152707266628684
35,11,0.4465364214306493,0.3626696255146232,0.03230712590932346
35,12,0.4752663854164456,0.8983224044774194,0.49521456936993613
36,1,0.6750747990123095,0.6490821425419901,0.017081407736853422
36,2,0.27899534722852015,0.06268611647718099,0.37814472878878913
36,3,0.04914076026623467,0.9869697675542597,0.8319892792036493
36,4,0.783351921441082,0.7382728445190504,0.04793804860373634
36,5,0.2786678971096453,0.9989960990206507,0.1715257110525256
36,6,0.08947926988617651,0.8555152122912024,0.6929765769219566
36,7,0.5838346656839746,0.16836673713388384,0.09592390665991463
36,8,0.26272684786029693,0.7242608809707995,0.5944175929054587
36,9,0.909893266457448,0.4081263918629988,0.5654840673988568
36,10,0.11053281455919661,0.405402876624458,0.33095900038249226
36,11,0.6790980308559517,0.12044986417860518,0.32062693835445694
36,12,0.08296618156748779,0.5825705703882622,0.8241696914877273
37,1,0.9965165147590699,0.5122810894356478,0.6361152240125069
37,2,0.04267833953473339,0.35021588947371407,0.6515749901363975
37,3,0.10189222079529954,0.6816443757781833,0.9545556443835654
37,4,0.42431986773308683,0.19736913012429036,0.7664110823551358
37,5,0.8136325995679623,0.9291033674882164,0.09010382910296603
37,6,0.20254596614408193,0.9225249341920291,0.4595959054198734
37,7,0.22616690091768282,0.06490410427384849,0.4676611525158664
37,8,0.47720602468828865,0.3500764941224758,0.39374749860423014
37,9,0.8818663785021887,0.32619685311034624,0.4806254494521045
37,10,0.8703948810426791,0.711807417511459,0.8424567503788082
37,11,0.6227311192949366,0.5527332974148251,0.5297420238262431
37,12,0.9613804581718721,0.020380398854253887,0.987746253272236
38,1,0.3568262523853905,0.00020960645933515876,0.8275094486764695
38,2,0.8755220572472892,0.7036007024686668,0.1267506444460614
38,3,0.8098554721120845,0.582637262502974,0.04201018038164017
38,4,0.6421812110164357,0.6727637321841544,0.9914923413067531
38,5,0.35349723411136574,0.20243985475384216,0.7397437636280063
38,6,0.10906294857145186,0.7117564927434324,0.31203138865663144
38,7,0.6619175343817982,0.9273200934529192,0.6735929817629838
38,8,0.39120077649013363,0.5108455404099239,0.8130472975827551
38,9,0.4919251605964728,0.20099556098532892,0.23533386810994444
