Model,Encoded Chromosome
25,"[0, 18, 0, 0, 4, 338, 0, 0, 4, 390, 0, 0, 0, 26, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 8, 3, 1, 0, 2, 0, 0, 0, 2, 1, 0, 0]"
26,"[3, 0, 0, 0, 5, 0, 0, 0, 8, 3, 2, 0, 1, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 4, 171, 0, 0, 8, 3, 1, 0, 6, 48, 1, 0, 5, 0, 0, 0, 8, 2, 1, 0, 0, 9, 1, 0]"
27,"[3, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 4, 282, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 2, 1, 0, 0, 4, 19, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0]"
28,"[8, 2, 2, 0, 4, 80, 0, 0, 0, 26, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 6, 31, 3, 0]"
29,"[7, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 6, 39, 4, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 10, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0]"
30,"[6, 50, 4, 0, 6, 34, 5, 0, 8, 1, 2, 0, 0, 7, 1, 0, 5, 0, 0, 0, 6, 27, 2, 0, 5, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0]"
31,"[3, 0, 0, 0, 0, 15, 1, 0, 3, 0, 0, 0, 5, 0, 0, 0, 6, 30, 3, 0, 4, 483, 0, 0, 2, 1, 0, 0, 4, 301, 0, 0, 4, 248, 0, 0, 4, 453, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0]"
32,"[6, 39, 5, 0, 6, 35, 2, 0, 2, 1, 0, 0, 8, 2, 2, 0, 3, 0, 0, 0, 6, 58, 1, 0, 6, 12, 7, 0, 5, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 30, 0, 0, 6, 47, 1, 0]"
33,"[6, 37, 5, 0, 4, 297, 0, 0, 2, 1, 0, 0, 6, 17, 4, 0, 1, 0, 0, 0, 7, 0, 0, 0, 6, 30, 5, 0, 4, 399, 0, 0, 8, 2, 2, 0, 3, 0, 0, 0, 4, 27, 0, 0, 8, 2, 2, 0]"
34,"[2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 31, 0, 0, 2, 0, 0, 0, 4, 391, 0, 0, 4, 338, 0, 0, 5, 0, 0, 0, 4, 360, 0, 0]"
35,"[5, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 6, 6, 6, 0, 4, 493, 0, 0, 0, 20, 1, 0, 4, 433, 0, 0, 8, 2, 1, 0, 4, 7, 0, 0, 8, 2, 2, 0, 5, 0, 0, 0, 8, 2, 2, 0]"
36,"[2, 0, 0, 0, 4, 216, 0, 0, 4, 498, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 8, 2, 2, 0, 3, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 4, 150, 0, 0, 8, 1, 1, 0]"
37,"[2, 0, 0, 0, 6, 12, 5, 0, 7, 0, 0, 0, 6, 12, 4, 0, 1, 0, 0, 0, 8, 3, 2, 0, 2, 1, 0, 0, 6, 49, 5, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 26, 1, 0, 1, 0, 0, 0]"
38,"[0, 21, 1, 0, 4, 506, 0, 0, 0, 15, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 5, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 0, 9, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0]"
39,"[1, 0, 0, 0, 1, 0, 0, 0, 6, 18, 5, 0, 8, 1, 2, 0, 0, 29, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0]"
40,"[3, 0, 0, 0, 6, 20, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 0, 30, 0, 0, 3, 0, 0, 0, 4, 37, 0, 0, 1, 0, 0, 0, 0, 22, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0]"
41,"[3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 30, 0, 0, 1, 0, 0, 0, 8, 2, 1, 0, 0, 22, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0]"
42,"[6, 63, 4, 0, 8, 1, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 26, 0, 0, 0, 15, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 6, 63, 6, 0]"
43,"[8, 1, 2, 0, 7, 0, 0, 0, 5, 0, 0, 0, 8, 3, 1, 0, 7, 0, 0, 0, 2, 1, 0, 0, 6, 11, 7, 0, 6, 48, 5, 0, 4, 315, 0, 0, 4, 183, 0, 0, 3, 0, 0, 0, 4, 191, 0, 0]"
44,"[7, 0, 0, 0, 5, 0, 0, 0, 4, 494, 0, 0, 6, 32, 6, 0, 5, 0, 0, 0, 4, 23, 0, 0, 4, 439, 0, 0, 3, 0, 0, 0, 0, 19, 1, 0, 8, 3, 1, 0, 5, 0, 0, 0, 6, 21, 1, 0]"
45,"[2, 0, 0, 0, 6, 8, 7, 0, 0, 6, 0, 0, 4, 297, 0, 0, 4, 308, 0, 0, 6, 37, 6, 0, 1, 0, 0, 0, 8, 2, 2, 0, 0, 6, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0]"
46,"[7, 0, 0, 0, 7, 0, 0, 0, 4, 52, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 6, 25, 4, 0, 2, 1, 0, 0, 4, 61, 0, 0, 5, 0, 0, 0, 0, 12, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0]"
47,"[4, 149, 0, 0, 4, 119, 0, 0, 0, 7, 0, 0, 0, 10, 1, 0, 6, 48, 4, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 8, 3, 1, 0]"
48,"[7, 0, 0, 0, 3, 0, 0, 0, 4, 158, 0, 0, 4, 322, 0, 0, 5, 0, 0, 0, 4, 133, 0, 0, 4, 467, 0, 0, 6, 34, 6, 0, 5, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
49,"[7, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 8, 3, 1, 0, 7, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 4, 110, 0, 0, 2, 0, 0, 0, 6, 25, 5, 0]"
50,"[6, 50, 2, 0, 7, 0, 0, 0, 2, 1, 0, 0, 8, 1, 1, 0, 0, 22, 1, 0, 5, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 21, 0, 0, 1, 0, 0, 0, 0, 24, 1, 0]"
51,"[1, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 6, 14, 5, 0, 3, 0, 0, 0, 8, 1, 2, 0, 2, 1, 0, 0, 5, 0, 0, 0, 6, 38, 4, 0, 6, 50, 1, 0]"
52,"[2, 1, 0, 0, 4, 311, 0, 0, 0, 11, 1, 0, 5, 0, 0, 0, 4, 57, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0]"
53,"[5, 0, 0, 0, 8, 3, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 377, 0, 0, 0, 4, 0, 0, 8, 3, 2, 0, 5, 0, 0, 0, 6, 5, 5, 0, 2, 0, 0, 0, 2, 1, 0, 0]"
54,"[6, 53, 4, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 8, 3, 1, 0, 0, 14, 0, 0, 3, 0, 0, 0]"
55,"[5, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 4, 233, 0, 0, 4, 107, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 8, 3, 2, 0, 4, 101, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0]"
56,"[0, 24, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 4, 204, 0, 0, 0, 5, 1, 0, 6, 20, 5, 0, 3, 0, 0, 0, 6, 29, 3, 0, 0, 28, 1, 0, 0, 16, 1, 0, 5, 0, 0, 0, 0, 25, 1, 0]"
57,"[3, 0, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 3, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 4, 89, 0, 0, 1, 0, 0, 0, 6, 49, 2, 0, 5, 0, 0, 0, 0, 23, 1, 0]"
58,"[7, 0, 0, 0, 2, 0, 0, 0, 8, 3, 2, 0, 0, 26, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 8, 3, 2, 0, 5, 0, 0, 0, 0, 10, 0, 0, 4, 211, 0, 0, 8, 2, 2, 0, 1, 0, 0, 0]"
59,"[2, 1, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 0, 9, 1, 0, 2, 1, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 6, 63, 2, 0, 2, 1, 0, 0, 0, 12, 0, 0, 6, 43, 1, 0]"
60,"[3, 0, 0, 0, 4, 42, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 4, 102, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 6, 44, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 6, 11, 4, 0]"
61,"[2, 1, 0, 0, 0, 9, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 4, 213, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 6, 7, 4, 0, 5, 0, 0, 0, 8, 1, 1, 0, 4, 198, 0, 0]"
62,"[3, 0, 0, 0, 0, 26, 0, 0, 0, 30, 0, 0, 6, 44, 7, 0, 4, 511, 0, 0, 8, 3, 1, 0, 0, 9, 1, 0, 3, 0, 0, 0, 4, 511, 0, 0, 4, 134, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]"
63,"[5, 0, 0, 0, 0, 14, 1, 0, 8, 1, 2, 0, 4, 435, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 8, 1, 1, 0, 0, 14, 0, 0, 4, 81, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0]"
64,"[6, 54, 4, 0, 0, 17, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 14, 1, 0, 7, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 6, 14, 4, 0, 7, 0, 0, 0, 4, 116, 0, 0]"
65,"[3, 0, 0, 0, 0, 26, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 28, 7, 0, 4, 430, 0, 0, 0, 30, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0]"
66,"[7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 4, 504, 0, 0, 6, 7, 5, 0, 1, 0, 0, 0, 6, 54, 1, 0, 4, 148, 0, 0, 7, 0, 0, 0, 6, 47, 3, 0, 6, 19, 4, 0, 2, 0, 0, 0]"
67,"[4, 166, 0, 0, 4, 456, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 26, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0]"
68,"[2, 1, 0, 0, 8, 3, 2, 0, 8, 1, 1, 0, 1, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 25, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 4, 40, 0, 0, 7, 0, 0, 0]"
69,"[6, 52, 7, 0, 8, 3, 1, 0, 2, 1, 0, 0, 5, 0, 0, 0, 4, 46, 0, 0, 6, 30, 5, 0, 6, 34, 5, 0, 8, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0]"
70,"[8, 3, 2, 0, 5, 0, 0, 0, 3, 0, 0, 0, 6, 60, 5, 0, 5, 0, 0, 0, 0, 16, 1, 0, 4, 64, 0, 0, 6, 45, 3, 0, 4, 150, 0, 0, 4, 295, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
71,"[6, 30, 1, 0, 1, 0, 0, 0, 6, 25, 2, 0, 2, 1, 0, 0, 6, 11, 6, 0, 3, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 5, 0, 0, 0]"
72,"[6, 61, 2, 0, 8, 3, 2, 0, 5, 0, 0, 0, 4, 320, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 8, 3, 1, 0, 4, 423, 0, 0, 5, 0, 0, 0, 8, 3, 1, 0, 6, 29, 3, 0, 4, 511, 0, 0]"
73,"[6, 44, 7, 0, 0, 10, 1, 0, 0, 8, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 88, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 8, 3, 2, 0, 8, 1, 1, 0, 6, 25, 4, 0]"
74,"[1, 0, 0, 0, 4, 175, 0, 0, 3, 0, 0, 0, 8, 2, 1, 0, 2, 0, 0, 0, 4, 499, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0]"
75,"[1, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 4, 274, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0]"
76,"[8, 1, 1, 0, 5, 0, 0, 0, 3, 0, 0, 0, 6, 5, 4, 0, 3, 0, 0, 0, 2, 1, 0, 0, 0, 20, 0, 0, 4, 76, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0]"
77,"[3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 6, 22, 7, 0, 7, 0, 0, 0, 4, 193, 0, 0, 3, 0, 0, 0, 4, 270, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 6, 33, 6, 0]"
78,"[8, 1, 2, 0, 5, 0, 0, 0, 6, 49, 7, 0, 1, 0, 0, 0, 7, 0, 0, 0, 6, 8, 6, 0, 0, 15, 1, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 4, 474, 0, 0, 6, 20, 7, 0]"
79,"[5, 0, 0, 0, 4, 265, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 4, 190, 0, 0, 1, 0, 0, 0, 8, 1, 2, 0, 0, 17, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0]"
80,"[2, 0, 0, 0, 8, 2, 1, 0, 8, 3, 1, 0, 4, 149, 0, 0, 8, 1, 2, 0, 8, 2, 2, 0, 3, 0, 0, 0, 5, 0, 0, 0, 4, 470, 0, 0, 1, 0, 0, 0, 6, 4, 6, 0, 7, 0, 0, 0]"
81,"[5, 0, 0, 0, 8, 1, 2, 0, 0, 16, 1, 0, 0, 25, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 23, 1, 0, 6, 43, 4, 0, 8, 2, 1, 0, 2, 1, 0, 0, 0, 20, 1, 0, 2, 0, 0, 0]"
82,"[0, 10, 1, 0, 5, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 6, 4, 6, 0, 0, 15, 1, 0, 8, 3, 1, 0, 4, 237, 0, 0, 2, 0, 0, 0, 0, 9, 1, 0, 4, 509, 0, 0]"
83,"[0, 27, 1, 0, 6, 52, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 6, 22, 7, 0, 8, 2, 2, 0, 4, 189, 0, 0, 1, 0, 0, 0, 8, 2, 1, 0, 0, 12, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0]"
84,"[0, 26, 0, 0, 5, 0, 0, 0, 8, 2, 2, 0, 6, 21, 5, 0, 7, 0, 0, 0, 8, 1, 1, 0, 8, 3, 1, 0, 2, 0, 0, 0, 0, 14, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 8, 2, 2, 0]"
85,"[4, 274, 0, 0, 5, 0, 0, 0, 0, 6, 1, 0, 2, 1, 0, 0, 4, 181, 0, 0, 4, 376, 0, 0, 2, 0, 0, 0, 0, 9, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 6, 25, 1, 0, 3, 0, 0, 0]"
86,"[7, 0, 0, 0, 1, 0, 0, 0, 0, 31, 0, 0, 4, 315, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 6, 46, 2, 0, 2, 0, 0, 0, 3, 0, 0, 0, 4, 214, 0, 0, 4, 364, 0, 0]"
87,"[6, 18, 4, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 0, 21, 0, 0, 2, 0, 0, 0, 4, 31, 0, 0, 0, 25, 0, 0, 2, 1, 0, 0, 4, 436, 0, 0, 7, 0, 0, 0]"
88,"[5, 0, 0, 0, 4, 228, 0, 0, 6, 51, 4, 0, 3, 0, 0, 0, 2, 1, 0, 0, 4, 493, 0, 0, 0, 24, 1, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0]"
89,"[3, 0, 0, 0, 7, 0, 0, 0, 8, 1, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 0, 18, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0]"
90,"[2, 1, 0, 0, 2, 1, 0, 0, 8, 3, 1, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 6, 17, 7, 0, 6, 60, 6, 0, 8, 1, 2, 0]"
91,"[4, 501, 0, 0, 7, 0, 0, 0, 0, 30, 0, 0, 8, 3, 2, 0, 7, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 6, 50, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 11, 1, 0]"
92,"[6, 16, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 8, 3, 1, 0, 3, 0, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0, 8, 2, 1, 0, 8, 2, 1, 0]"
93,"[2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 2, 1, 0, 0, 6, 7, 4, 0, 7, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 4, 337, 0, 0, 3, 0, 0, 0]"
