Model,Encoded Chromosome
13,"[2, 1, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 6, 50, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 3, 0, 0, 0]"
14,"[6, 24, 4, 0, 0, 12, 0, 0, 1, 12, 0, 0, 7, 0, 0, 0, 0, 7, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 8, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0]"
15,"[5, 0, 0, 0, 4, 235, 0, 0, 4, 327, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
16,"[2, 1, 0, 0, 1, 4, 0, 0, 6, 16, 4, 0, 1, 16, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 13, 1, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0]"
17,"[2, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 6, 12, 3, 0, 3, 0, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 4, 34, 0, 0, 7, 0, 0, 0]"
18,"[4, 388, 0, 0, 7, 0, 0, 0, 4, 238, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
19,"[1, 4, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 255, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
20,"[0, 26, 0, 0, 7, 0, 0, 0, 0, 23, 0, 0, 0, 12, 1, 0, 4, 34, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
21,"[7, 0, 0, 0, 4, 34, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
22,"[7, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 0, 4, 1, 0, 8, 1, 1, 0, 3, 0, 0, 0, 1, 4, 0, 0, 8, 2, 1, 0, 1, 4, 0, 0, 3, 0, 0, 0, 6, 58, 1, 0, 1, 58, 0, 0]"
23,"[6, 16, 1, 0, 0, 21, 0, 0, 4, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 4, 173, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0]"
24,"[8, 0, 1, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 6, 40, 4, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 151, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
25,"[1, 4, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
26,"[7, 0, 0, 0, 2, 0, 0, 0, 4, 430, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 174, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
27,"[1, 4, 0, 0, 3, 0, 0, 0, 4, 509, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 417, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
28,"[1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 31, 1, 0, 8, 2, 2, 0, 7, 0, 0, 0, 6, 38, 2, 0, 4, 64, 0, 0, 7, 0, 0, 0]"
29,"[4, 45, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 51, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 488, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 364, 0, 0]"
30,"[3, 0, 0, 0, 4, 217, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
31,"[2, 1, 0, 0, 6, 58, 1, 0, 8, 1, 2, 0, 8, 1, 1, 0, 2, 1, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0]"
32,"[0, 30, 0, 0, 7, 0, 0, 0, 6, 44, 4, 0, 2, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 4, 113, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
33,"[6, 13, 1, 0, 8, 1, 1, 0, 5, 0, 0, 0, 4, 206, 0, 0, 4, 437, 0, 0, 4, 112, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 415, 0, 0, 4, 162, 0, 0, 7, 0, 0, 0]"
34,"[1, 4, 0, 0, 7, 0, 0, 0, 0, 29, 1, 0, 0, 19, 1, 0, 4, 498, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]"
35,"[6, 52, 4, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 3, 0, 0, 0, 8, 1, 2, 0]"
36,"[1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 6, 24, 4, 0, 4, 379, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 479, 0, 0, 7, 0, 0, 0]"
37,"[2, 1, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 24, 1, 0, 5, 0, 0, 0, 4, 101, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]"
38,"[6, 11, 1, 0, 1, 11, 0, 0, 0, 30, 0, 0, 3, 0, 0, 0, 8, 2, 2, 0, 4, 472, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
39,"[6, 56, 4, 0, 4, 304, 0, 0, 7, 0, 0, 0, 4, 363, 0, 0, 4, 259, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 196, 0, 0, 7, 0, 0, 0]"
40,"[6, 32, 4, 0, 8, 1, 1, 0, 8, 1, 2, 0, 1, 4, 0, 0, 3, 0, 0, 0, 4, 332, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
41,"[1, 4, 0, 0, 3, 0, 0, 0, 8, 2, 2, 0, 8, 2, 1, 0, 1, 4, 0, 0, 8, 2, 2, 0, 0, 25, 1, 0, 0, 13, 1, 0, 3, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0]"
42,"[8, 0, 1, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 4, 336, 0, 0, 4, 190, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
43,"[2, 1, 0, 0, 6, 28, 2, 0, 2, 0, 0, 0, 7, 0, 0, 0, 4, 144, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
44,"[7, 0, 0, 0, 0, 29, 1, 0, 3, 0, 0, 0, 5, 0, 0, 0, 4, 153, 0, 0, 4, 499, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 260, 0, 0, 7, 0, 0, 0, 4, 336, 0, 0, 7, 0, 0, 0]"
45,"[0, 13, 1, 0, 1, 13, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 21, 0, 0, 6, 20, 4, 0, 2, 1, 0, 0, 0, 16, 1, 0, 1, 16, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0]"
46,"[7, 0, 0, 0, 1, 4, 0, 0, 2, 1, 0, 0, 8, 3, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 0, 12, 1, 0, 6, 16, 4, 0]"
47,"[8, 0, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 30, 1, 0, 3, 0, 0, 0, 8, 1, 1, 0, 7, 0, 0, 0, 6, 20, 4, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0]"
48,"[6, 6, 2, 0, 2, 1, 0, 0, 0, 7, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 0, 6, 0, 0, 8, 1, 1, 0]"
49,"[3, 0, 0, 0, 4, 308, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]"
50,"[0, 24, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 4, 508, 0, 0, 4, 20, 0, 0, 7, 0, 0, 0, 4, 249, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 366, 0, 0]"
51,"[8, 0, 1, 0, 0, 21, 1, 0, 1, 21, 0, 0, 6, 24, 4, 0, 8, 3, 2, 0, 4, 25, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 344, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 132, 0, 0]"
52,"[1, 4, 0, 0, 0, 20, 1, 0, 7, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 6, 60, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 4, 378, 0, 0, 7, 0, 0, 0]"
53,"[0, 30, 0, 0, 4, 6, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 80, 0, 0, 7, 0, 0, 0, 4, 171, 0, 0]"
54,"[0, 7, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 8, 3, 1, 0, 3, 0, 0, 0, 4, 217, 0, 0, 7, 0, 0, 0, 4, 361, 0, 0]"
55,"[6, 23, 1, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 4, 63, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
56,"[8, 0, 2, 0, 5, 0, 0, 0, 4, 123, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 50, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
57,"[1, 4, 0, 0, 4, 449, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 423, 0, 0, 4, 139, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 10, 0, 0]"
58,"[6, 44, 4, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
59,"[7, 0, 0, 0, 1, 4, 0, 0, 4, 302, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 87, 0, 0, 7, 0, 0, 0, 4, 352, 0, 0, 7, 0, 0, 0]"
60,"[7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 0, 22, 0, 0, 6, 28, 4, 0, 1, 28, 0, 0, 4, 310, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]"
61,"[0, 21, 0, 0, 3, 0, 0, 0, 8, 1, 1, 0, 8, 2, 2, 0, 6, 60, 4, 0, 4, 337, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
62,"[7, 0, 0, 0, 0, 18, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 3, 0, 0, 0, 7, 0, 0, 0, 6, 36, 4, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 32, 0, 0]"
63,"[3, 0, 0, 0, 0, 20, 1, 0, 6, 4, 4, 0, 1, 4, 0, 0, 7, 0, 0, 0, 0, 23, 1, 0, 0, 6, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 1, 2, 0, 8, 3, 1, 0]"
64,"[8, 0, 1, 0, 7, 0, 0, 0, 0, 12, 0, 0, 0, 28, 0, 0, 8, 1, 2, 0, 4, 200, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
65,"[3, 0, 0, 0, 4, 155, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 200, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
66,"[3, 0, 0, 0, 0, 6, 0, 0, 8, 2, 1, 0, 3, 0, 0, 0, 8, 1, 2, 0, 0, 5, 1, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 4, 196, 0, 0, 4, 504, 0, 0, 7, 0, 0, 0]"
67,"[2, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 0, 15, 0, 0, 7, 0, 0, 0, 4, 327, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 335, 0, 0, 7, 0, 0, 0]"
68,"[7, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 4, 197, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 4, 351, 0, 0]"
69,"[8, 0, 2, 0, 4, 402, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
70,"[8, 0, 2, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 6, 12, 4, 0, 0, 12, 1, 0, 4, 171, 0, 0, 7, 0, 0, 0, 4, 267, 0, 0, 7, 0, 0, 0]"
71,"[7, 0, 0, 0, 3, 0, 0, 0, 8, 2, 2, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]"
72,"[4, 40, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 504, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
73,"[7, 0, 0, 0, 0, 10, 1, 0, 3, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 8, 3, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 31, 0, 0, 8, 3, 2, 0, 1, 4, 0, 0]"
74,"[0, 19, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 8, 1, 2, 0, 8, 1, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]"
75,"[8, 0, 2, 0, 2, 0, 0, 0, 6, 60, 4, 0, 1, 60, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 8, 1, 2, 0, 0, 9, 1, 0, 5, 0, 0, 0]"
76,"[1, 4, 0, 0, 6, 6, 3, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0]"
77,"[2, 1, 0, 0, 1, 4, 0, 0, 0, 26, 0, 0, 8, 3, 1, 0, 1, 4, 0, 0, 4, 491, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 4, 227, 0, 0]"
78,"[3, 0, 0, 0, 6, 42, 3, 0, 7, 0, 0, 0, 3, 0, 0, 0, 4, 175, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
79,"[3, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 0, 15, 0, 0, 8, 3, 2, 0, 7, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 8, 2, 1, 0]"
80,"[4, 438, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 4, 454, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
81,"[7, 0, 0, 0, 8, 1, 2, 0, 1, 4, 0, 0, 4, 104, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 83, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
82,"[0, 4, 1, 0, 6, 52, 4, 0, 8, 2, 2, 0, 1, 4, 0, 0, 8, 2, 1, 0, 5, 0, 0, 0, 4, 2, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
83,"[7, 0, 0, 0, 6, 12, 1, 0, 4, 52, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 443, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
84,"[7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 5, 0, 0, 7, 0, 0, 0, 0, 16, 1, 0, 4, 83, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
85,"[8, 0, 2, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 21, 0, 0, 0, 22, 1, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 151, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
86,"[1, 4, 0, 0, 4, 242, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 324, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]"
87,"[0, 20, 1, 0, 0, 23, 1, 0, 2, 0, 0, 0, 6, 36, 4, 0, 2, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 27, 0, 0, 0, 18, 0, 0, 2, 0, 0, 0]"
88,"[3, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 3, 0, 0, 0, 8, 3, 2, 0, 4, 507, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
89,"[2, 1, 0, 0, 0, 26, 1, 0, 7, 0, 0, 0, 1, 4, 0, 0, 4, 266, 0, 0, 7, 0, 0, 0, 4, 250, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0]"
90,"[2, 0, 0, 0, 8, 1, 1, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 6, 12, 4, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 8, 2, 2, 0, 1, 4, 0, 0, 3, 0, 0, 0]"
91,"[1, 4, 0, 0, 6, 24, 3, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 1, 4, 0, 0, 8, 3, 2, 0, 7, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 30, 0, 0]"
92,"[2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 6, 44, 4, 0, 4, 318, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]"
93,"[3, 0, 0, 0, 8, 1, 2, 0, 8, 1, 1, 0, 2, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 6, 40, 4, 0, 8, 3, 2, 0, 7, 0, 0, 0, 0, 15, 1, 0, 7, 0, 0, 0]"
